                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0435,                0.98033,                 1.3984,                0.91234,                0.93233,                0.95998,                0.61837,                 1.2381,                0.83241,                 1.6201,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.0554,                 0.9607,                 1.3811,                0.88018,                0.82437,                0.91527,                0.55727,                 1.2627,                0.94282,                 1.6737,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.0827,                 1.0201,                 1.4424,                0.91636,                0.83067,                0.89336,                 0.5464,                 1.3006,                0.88115,                 1.7599,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.0865,                0.99667,                 1.4525,                 0.8262,                0.83799,                0.87841,                 0.5328,                 1.3571,                0.94279,                 1.7674,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.0858,                0.96674,                 1.4094,                0.70817,                0.83333,                0.84419,                0.45318,                 1.4029,                 1.1516,                 1.8471,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.1032,                 1.0617,                  1.436,                0.77109,                 0.8494,                0.86939,                0.50637,                  1.387,                 1.0471,                 1.7373,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.0068,                0.91217,                 1.3695,                0.92681,                0.89437,                0.90906,                0.57719,                 1.3282,                0.90784,                 1.7503,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.0277,                 0.9653,                 1.4017,                0.95649,                0.86063,                0.96651,                0.57552,                 1.3397,                0.84093,                 1.8204,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.0922,                0.96124,                 1.4297,                0.94638,                0.92761,                0.95246,                 0.5723,                 1.3875,                0.77588,                 1.8274,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.0141,                0.86718,                 1.3537,                0.85613,                0.95709,                0.94432,                 0.5992,                 1.2881,                 0.7518,                 1.7296,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.0041,                0.90854,                 1.3508,                0.86783,                0.93333,                0.94135,                0.59351,                  1.335,                0.76939,                 1.7747,             0.00099036,             0.00099036,             0.00099036
                     84,                  1.021,                  0.914,                 1.3773,                0.85458,                    0.9,                 0.8966,                0.52715,                 1.4899,                0.85025,                 1.9841,             0.00098211,             0.00098211,             0.00098211
                     85,                0.99855,                0.92521,                  1.366,                0.82936,                    0.9,                0.92812,                0.57119,                 1.3701,                0.81634,                  1.886,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.0061,                0.91736,                 1.3731,                 0.9363,                0.87912,                 0.9501,                0.60665,                 1.2759,                0.82671,                 1.8025,             0.00096561,             0.00096561,             0.00096561
                     87,                0.97375,                0.86386,                 1.3266,                0.95197,                0.85298,                 0.9355,                 0.6089,                  1.347,                0.79642,                 1.8415,             0.00095736,             0.00095736,             0.00095736
                     88,                0.99658,                0.84392,                 1.3335,                0.88772,                0.93333,                0.93791,                0.59344,                 1.3653,                0.72926,                 1.8444,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.0072,                0.89471,                 1.3735,                0.83272,                0.94552,                0.95521,                 0.6076,                 1.3763,                0.72354,                 1.8756,             0.00094085,             0.00094085,             0.00094085
                     90,                0.96634,                 0.8407,                 1.3306,                0.88448,                0.91245,                 0.9624,                0.62051,                 1.2764,                0.71803,                 1.7088,              0.0009326,              0.0009326,              0.0009326
                     91,                0.93336,                0.87868,                 1.3074,                0.81745,                 0.8898,                0.89099,                0.59728,                 1.3386,                0.76829,                 1.7709,             0.00092435,             0.00092435,             0.00092435
                     92,                 0.9435,                 0.8235,                 1.2905,                0.88434,                0.75202,                0.87614,                0.53508,                 1.4256,                0.82285,                 1.8731,              0.0009161,              0.0009161,              0.0009161
                     93,                0.93433,                0.81081,                 1.2945,                0.85336,                0.82948,                0.87871,                0.55905,                 1.3782,                0.80879,                 1.8602,             0.00090785,             0.00090785,             0.00090785
                     94,                0.92441,                0.81847,                 1.2994,                0.87037,                0.93333,                0.94221,                0.59875,                  1.445,                0.66751,                 1.8711,              0.0008996,              0.0008996,              0.0008996
                     95,                0.92591,                0.76598,                 1.3172,                0.86404,                0.96524,                 0.9555,                0.61188,                 1.4224,                0.66477,                 1.8121,             0.00089134,             0.00089134,             0.00089134
                     96,                0.90366,                0.79027,                 1.2889,                0.89494,                0.96667,                0.95834,                 0.6134,                  1.321,                0.67519,                 1.7487,             0.00088309,             0.00088309,             0.00088309
                     97,                0.91973,                0.80819,                  1.302,                0.92917,                0.95714,                0.96806,                 0.6231,                 1.2624,                0.66947,                 1.6962,             0.00087484,             0.00087484,             0.00087484
                     98,                0.92568,                0.83435,                 1.2957,                0.96763,                0.94383,                0.98741,                0.62593,                  1.345,                0.65177,                 1.7774,             0.00086659,             0.00086659,             0.00086659
                     99,                0.87302,                0.76166,                 1.2689,                0.90178,                0.99738,                0.98493,                0.60898,                 1.3661,                0.71821,                 1.7976,             0.00085834,             0.00085834,             0.00085834
                    100,                 0.9046,                0.81758,                 1.3086,                0.92472,                    0.9,                0.94474,                0.62387,                  1.315,                0.67906,                 1.7661,             0.00085009,             0.00085009,             0.00085009
                    101,                0.90332,                0.74843,                 1.2796,                0.90596,                0.96501,                0.96529,                0.62724,                 1.3185,                0.68327,                 1.7451,             0.00084184,             0.00084184,             0.00084184
                    102,                0.94551,                 0.8178,                  1.336,                0.93346,                0.96078,                0.98533,                0.60358,                 1.3091,                0.68204,                 1.7471,             0.00083358,             0.00083358,             0.00083358
                    103,                0.86275,                0.75156,                 1.2498,                0.96196,                0.96667,                0.98868,                0.64069,                 1.2269,                0.71361,                 1.6174,             0.00082533,             0.00082533,             0.00082533
